image_name,right_index_start,left_index_end,target_angle
lidar_0232.png,199,302,-4.36
lidar_0226.png,208,294,-5.65
lidar_0187.png,216,287,0.0
lidar_0193.png,215,289,-0.5
lidar_0385.png,126,378,0.0
lidar_0391.png,126,378,0.0
lidar_0346.png,126,378,0.0
lidar_0352.png,126,378,0.0
lidar_0353.png,126,378,0.0
lidar_0347.png,126,378,0.0
lidar_0390.png,126,378,0.0
lidar_0384.png,126,378,0.0
lidar_0192.png,217,289,-0.83
lidar_0186.png,216,287,0.0
lidar_0227.png,208,295,-4.47
lidar_0233.png,198,303,-4.7
